transaction_id,date,product_id,product_name,category,region,units_sold,unit_price,revenue,cost,profit,marketing_spend,customer_id,customer_segment,churn_risk
TX-10001,2024-09-01,PROD-105,Strategic BI Advisory,Advisory,North,1,12000,11935.0,4500,7435.0,1026.39,CUST-558,At-Risk Midmarket,High
TX-10002,2024-09-01,PROD-105,Strategic BI Advisory,Advisory,West,1,12000,12563.89,4500,8063.89,1632.63,CUST-905,At-Risk Midmarket,High
TX-10003,2024-09-01,PROD-102,AI Analytics Engine Pro,Enterprise AI,North,1,8200,8220.3,2100,6120.3,870.67,CUST-660,High-Value Enterprise,Low
TX-10004,2024-09-01,PROD-102,AI Analytics Engine Pro,Enterprise AI,North,1,8200,7864.3,2100,5764.3,920.93,CUST-975,New Startup,Low
TX-10005,2024-09-01,PROD-101,Stratos Enterprise Suite,Cloud Services,North,1,4500,4304.27,1200,3104.27,589.4,CUST-415,Growth SMB,Low
TX-10006,2024-09-01,PROD-102,AI Analytics Engine Pro,Enterprise AI,South,1,8200,7890.07,2100,5790.07,865.62,CUST-134,High-Value Enterprise,Medium
TX-10007,2024-09-02,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,1,8200,7941.58,2100,5841.58,1097.33,CUST-829,Growth SMB,Low
TX-10008,2024-09-02,PROD-102,AI Analytics Engine Pro,Enterprise AI,APAC,1,8200,7950.71,2100,5850.71,657.63,CUST-395,Growth SMB,Medium
TX-10009,2024-09-02,PROD-105,Strategic BI Advisory,Advisory,South,1,12000,11737.12,4500,7237.12,1321.15,CUST-140,At-Risk Midmarket,High
TX-10010,2024-09-02,PROD-105,Strategic BI Advisory,Advisory,Central,2,12000,22813.25,9000,13813.25,2941.26,CUST-692,High-Value Enterprise,Medium
TX-10011,2024-09-02,PROD-103,Legacy Data Server V1,Hardware,Central,1,3100,2980.92,2200,780.92,392.84,CUST-939,High-Value Enterprise,High
TX-10012,2024-09-02,PROD-101,Stratos Enterprise Suite,Cloud Services,North,2,4500,9348.49,2400,6948.49,1012.75,CUST-712,Growth SMB,Medium
TX-10013,2024-09-03,PROD-101,Stratos Enterprise Suite,Cloud Services,West,1,4500,4594.8,1200,3394.8,398.16,CUST-991,High-Value Enterprise,Low
TX-10014,2024-09-03,PROD-101,Stratos Enterprise Suite,Cloud Services,South,2,4500,9230.0,2400,6830.0,865.11,CUST-259,Growth SMB,Low
TX-10015,2024-09-03,PROD-103,Legacy Data Server V1,Hardware,North,1,3100,3215.15,2200,1015.15,412.25,CUST-655,New Startup,High
TX-10016,2024-09-03,PROD-106,Automated ETL Pipeline,Cloud Services,East,2,2900,5642.2,1400,4242.2,595.97,CUST-727,At-Risk Midmarket,High
TX-10017,2024-09-03,PROD-105,Strategic BI Advisory,Advisory,APAC,1,12000,11900.89,4500,7400.89,1110.67,CUST-918,High-Value Enterprise,Low
TX-10018,2024-09-04,PROD-106,Automated ETL Pipeline,Cloud Services,North,1,2900,2828.64,700,2128.64,268.19,CUST-906,Growth SMB,Low
TX-10019,2024-09-04,PROD-101,Stratos Enterprise Suite,Cloud Services,North,2,4500,8579.75,2400,6179.75,864.02,CUST-484,New Startup,Low
TX-10020,2024-09-04,PROD-102,AI Analytics Engine Pro,Enterprise AI,East,1,8200,7856.3,2100,5756.3,802.75,CUST-500,Growth SMB,Medium
TX-10021,2024-09-04,PROD-105,Strategic BI Advisory,Advisory,West,1,12000,11508.35,4500,7008.35,1497.45,CUST-223,Growth SMB,Low
TX-10022,2024-09-04,PROD-105,Strategic BI Advisory,Advisory,APAC,1,12000,12253.38,4500,7753.38,1575.42,CUST-247,Growth SMB,Low
TX-10023,2024-09-05,PROD-101,Stratos Enterprise Suite,Cloud Services,West,1,4500,4428.48,1200,3228.48,384.43,CUST-250,Growth SMB,Low
TX-10024,2024-09-05,PROD-102,AI Analytics Engine Pro,Enterprise AI,South,2,8200,15976.64,4200,11776.64,1367.38,CUST-751,At-Risk Midmarket,High
TX-10025,2024-09-05,PROD-105,Strategic BI Advisory,Advisory,APAC,1,12000,11819.05,4500,7319.05,1460.33,CUST-230,Growth SMB,Medium
TX-10026,2024-09-05,PROD-106,Automated ETL Pipeline,Cloud Services,Central,1,2900,2801.87,700,2101.87,375.21,CUST-951,Growth SMB,Low
TX-10027,2024-09-05,PROD-106,Automated ETL Pipeline,Cloud Services,EMEA,1,2900,2895.83,700,2195.83,309.58,CUST-780,New Startup,Low
TX-10028,2024-09-05,PROD-104,Smart Edge Gateway,Hardware,South,4,1800,6907.45,3800,3107.45,704.99,CUST-474,Growth SMB,Low
TX-10029,2024-09-06,PROD-103,Legacy Data Server V1,Hardware,APAC,1,3100,3123.84,2200,923.84,342.22,CUST-552,Growth SMB,Low
TX-10030,2024-09-06,PROD-104,Smart Edge Gateway,Hardware,North,1,1800,1879.28,950,929.28,257.9,CUST-472,Growth SMB,Medium
TX-10031,2024-09-06,PROD-104,Smart Edge Gateway,Hardware,North,4,1800,7117.27,3800,3317.27,932.85,CUST-355,New Startup,Low
TX-10032,2024-09-06,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,2,8200,16588.61,4200,12388.61,2312.51,CUST-738,New Startup,Low
TX-10033,2024-09-06,PROD-102,AI Analytics Engine Pro,Enterprise AI,South,1,8200,8371.31,2100,6271.31,947.37,CUST-781,At-Risk Midmarket,High
TX-10034,2024-09-06,PROD-102,AI Analytics Engine Pro,Enterprise AI,Central,2,8200,16889.2,4200,12689.2,2009.78,CUST-611,New Startup,Low
TX-10035,2024-09-06,PROD-106,Automated ETL Pipeline,Cloud Services,APAC,1,2900,2922.7,700,2222.7,240.12,CUST-764,Growth SMB,Low
TX-10036,2024-09-07,PROD-106,Automated ETL Pipeline,Cloud Services,West,1,2900,2993.55,700,2293.55,304.18,CUST-543,High-Value Enterprise,Low
TX-10037,2024-09-07,PROD-105,Strategic BI Advisory,Advisory,South,1,12000,12410.43,4500,7910.43,1137.57,CUST-449,New Startup,Low
TX-10038,2024-09-07,PROD-104,Smart Edge Gateway,Hardware,North,1,1800,1781.79,950,831.79,188.89,CUST-157,New Startup,Low
TX-10039,2024-09-07,PROD-105,Strategic BI Advisory,Advisory,North,1,12000,12226.2,4500,7726.2,1020.79,CUST-733,High-Value Enterprise,Low
TX-10040,2024-09-07,PROD-102,AI Analytics Engine Pro,Enterprise AI,South,1,8200,8556.38,2100,6456.38,1012.19,CUST-288,High-Value Enterprise,Medium
TX-10041,2024-09-07,PROD-105,Strategic BI Advisory,Advisory,West,1,12000,11827.17,4500,7327.17,1483.96,CUST-796,Growth SMB,Low
TX-10042,2024-09-07,PROD-104,Smart Edge Gateway,Hardware,North,3,1800,5395.47,2850,2545.47,584.91,CUST-388,High-Value Enterprise,Low
TX-10043,2024-09-08,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,1,8200,8097.18,2100,5997.18,951.84,CUST-541,Growth SMB,Low
TX-10044,2024-09-08,PROD-105,Strategic BI Advisory,Advisory,West,3,12000,37083.42,13500,23583.42,4473.38,CUST-774,Growth SMB,Low
TX-10045,2024-09-08,PROD-101,Stratos Enterprise Suite,Cloud Services,Central,3,4500,13194.85,3600,9594.85,1225.48,CUST-401,At-Risk Midmarket,High
TX-10046,2024-09-08,PROD-102,AI Analytics Engine Pro,Enterprise AI,North,1,8200,8327.69,2100,6227.69,858.78,CUST-701,Growth SMB,Low
TX-10047,2024-09-08,PROD-103,Legacy Data Server V1,Hardware,South,1,3100,3217.02,2200,1017.02,399.25,CUST-376,High-Value Enterprise,High
TX-10048,2024-09-08,PROD-104,Smart Edge Gateway,Hardware,North,3,1800,5549.26,2850,2699.26,557.41,CUST-289,At-Risk Midmarket,High
TX-10049,2024-09-08,PROD-105,Strategic BI Advisory,Advisory,South,1,12000,11853.27,4500,7353.27,1328.27,CUST-695,At-Risk Midmarket,High
TX-10050,2024-09-09,PROD-106,Automated ETL Pipeline,Cloud Services,South,1,2900,3032.98,700,2332.98,396.8,CUST-364,High-Value Enterprise,Low
TX-10051,2024-09-09,PROD-106,Automated ETL Pipeline,Cloud Services,West,1,2900,2781.59,700,2081.59,323.07,CUST-990,Growth SMB,Low
TX-10052,2024-09-09,PROD-105,Strategic BI Advisory,Advisory,Central,1,12000,11993.3,4500,7493.3,1000.88,CUST-322,At-Risk Midmarket,High
TX-10053,2024-09-10,PROD-105,Strategic BI Advisory,Advisory,West,2,12000,24808.71,9000,15808.71,3275.05,CUST-329,Growth SMB,Low
TX-10054,2024-09-10,PROD-105,Strategic BI Advisory,Advisory,South,1,12000,12015.99,4500,7515.99,1129.43,CUST-747,Growth SMB,Low
TX-10055,2024-09-10,PROD-101,Stratos Enterprise Suite,Cloud Services,APAC,2,4500,9187.36,2400,6787.36,1000.5,CUST-975,High-Value Enterprise,Low
TX-10056,2024-09-10,PROD-103,Legacy Data Server V1,Hardware,South,1,3100,3023.64,2200,823.64,315.4,CUST-737,Growth SMB,Low
TX-10057,2024-09-11,PROD-101,Stratos Enterprise Suite,Cloud Services,West,1,4500,4489.97,1200,3289.97,381.53,CUST-216,At-Risk Midmarket,High
TX-10058,2024-09-11,PROD-106,Automated ETL Pipeline,Cloud Services,Central,2,2900,6046.29,1400,4646.29,817.14,CUST-775,New Startup,Low
TX-10059,2024-09-11,PROD-104,Smart Edge Gateway,Hardware,North,1,1800,1889.25,950,939.25,230.14,CUST-358,High-Value Enterprise,Medium
TX-10060,2024-09-11,PROD-101,Stratos Enterprise Suite,Cloud Services,APAC,1,4500,4452.53,1200,3252.53,384.72,CUST-472,New Startup,Low
TX-10061,2024-09-11,PROD-104,Smart Edge Gateway,Hardware,West,1,1800,1774.86,950,824.86,169.67,CUST-601,Growth SMB,Low
TX-10062,2024-09-11,PROD-101,Stratos Enterprise Suite,Cloud Services,South,1,4500,4684.92,1200,3484.92,606.0,CUST-693,At-Risk Midmarket,High
TX-10063,2024-09-11,PROD-103,Legacy Data Server V1,Hardware,West,1,3100,3234.15,2200,1034.15,426.79,CUST-976,Growth SMB,Low
TX-10064,2024-09-12,PROD-102,AI Analytics Engine Pro,Enterprise AI,EMEA,1,8200,8585.33,2100,6485.33,1120.62,CUST-560,High-Value Enterprise,Low
TX-10065,2024-09-12,PROD-101,Stratos Enterprise Suite,Cloud Services,East,1,4500,4664.13,1200,3464.13,600.62,CUST-962,Growth SMB,Medium
TX-10066,2024-09-12,PROD-103,Legacy Data Server V1,Hardware,West,2,3100,6169.34,4400,1769.34,541.36,CUST-150,At-Risk Midmarket,High
TX-10067,2024-09-13,PROD-105,Strategic BI Advisory,Advisory,North,1,12000,11722.41,4500,7222.41,953.4,CUST-349,New Startup,Low
TX-10068,2024-09-13,PROD-106,Automated ETL Pipeline,Cloud Services,Central,2,2900,5969.25,1400,4569.25,688.84,CUST-866,Growth SMB,Low
TX-10069,2024-09-13,PROD-105,Strategic BI Advisory,Advisory,West,1,12000,11563.65,4500,7063.65,935.18,CUST-905,At-Risk Midmarket,High
TX-10070,2024-09-13,PROD-102,AI Analytics Engine Pro,Enterprise AI,West,2,8200,16422.94,4200,12222.94,2086.03,CUST-641,Growth SMB,Low
TX-10071,2024-09-13,PROD-103,Legacy Data Server V1,Hardware,West,1,3100,3206.05,2200,1006.05,404.4,CUST-951,At-Risk Midmarket,High
TX-10072,2024-09-13,PROD-105,Strategic BI Advisory,Advisory,EMEA,1,12000,12160.08,4500,7660.08,1148.02,CUST-982,Growth SMB,Low
TX-10073,2024-09-13,PROD-103,Legacy Data Server V1,Hardware,North,1,3100,3052.16,2200,852.16,408.4,CUST-294,Growth SMB,High
TX-10074,2024-09-14,PROD-105,Strategic BI Advisory,Advisory,North,1,12000,11734.31,4500,7234.31,1063.37,CUST-504,High-Value Enterprise,Low
TX-10075,2024-09-14,PROD-105,Strategic BI Advisory,Advisory,East,1,12000,12004.1,4500,7504.1,1457.58,CUST-172,High-Value Enterprise,Low
TX-10076,2024-09-14,PROD-101,Stratos Enterprise Suite,Cloud Services,West,1,4500,4444.78,1200,3244.78,356.27,CUST-903,Growth SMB,Medium
TX-10077,2024-09-14,PROD-101,Stratos Enterprise Suite,Cloud Services,West,2,4500,9233.96,2400,6833.96,1033.06,CUST-485,New Startup,Medium
TX-10078,2024-09-15,PROD-103,Legacy Data Server V1,Hardware,West,1,3100,3109.96,2200,909.96,268.79,CUST-605,New Startup,Low
TX-10079,2024-09-15,PROD-101,Stratos Enterprise Suite,Cloud Services,West,2,4500,9031.8,2400,6631.8,848.93,CUST-624,High-Value Enterprise,Low
TX-10080,2024-09-15,PROD-104,Smart Edge Gateway,Hardware,South,3,1800,5446.73,2850,2596.73,620.21,CUST-653,Growth SMB,Low
TX-10081,2024-09-15,PROD-106,Automated ETL Pipeline,Cloud Services,APAC,1,2900,2850.8,700,2150.8,387.77,CUST-536,Growth SMB,Low
TX-10082,2024-09-15,PROD-106,Automated ETL Pipeline,Cloud Services,South,1,2900,2988.7,700,2288.7,249.08,CUST-236,Growth SMB,Low
TX-10083,2024-09-16,PROD-105,Strategic BI Advisory,Advisory,EMEA,1,12000,12563.36,4500,8063.36,1657.49,CUST-745,High-Value Enterprise,Medium
TX-10084,2024-09-16,PROD-106,Automated ETL Pipeline,Cloud Services,North,3,2900,8934.46,2100,6834.46,815.02,CUST-217,At-Risk Midmarket,High
TX-10085,2024-09-16,PROD-104,Smart Edge Gateway,Hardware,East,1,1800,1819.91,950,869.91,177.11,CUST-904,Growth SMB,Low
TX-10086,2024-09-16,PROD-104,Smart Edge Gateway,Hardware,South,1,1800,1808.75,950,858.75,204.27,CUST-997,Growth SMB,Low
TX-10087,2024-09-16,PROD-102,AI Analytics Engine Pro,Enterprise AI,North,1,8200,7885.69,2100,5785.69,854.73,CUST-649,High-Value Enterprise,Low
TX-10088,2024-09-17,PROD-105,Strategic BI Advisory,Advisory,Central,1,12000,12277.04,4500,7777.04,1673.37,CUST-687,New Startup,Low
TX-10089,2024-09-17,PROD-101,Stratos Enterprise Suite,Cloud Services,West,1,4500,4632.87,1200,3432.87,426.68,CUST-897,Growth SMB,Medium
TX-10090,2024-09-17,PROD-105,Strategic BI Advisory,Advisory,Central,1,12000,11830.6,4500,7330.6,1569.12,CUST-188,At-Risk Midmarket,High
TX-10091,2024-09-18,PROD-106,Automated ETL Pipeline,Cloud Services,APAC,3,2900,8605.59,2100,6505.59,963.06,CUST-920,Growth SMB,Medium
TX-10092,2024-09-18,PROD-103,Legacy Data Server V1,Hardware,East,1,3100,3171.47,2200,971.47,385.72,CUST-599,Growth SMB,High
TX-10093,2024-09-18,PROD-105,Strategic BI Advisory,Advisory,East,1,12000,12597.23,4500,8097.23,1576.47,CUST-510,At-Risk Midmarket,High
TX-10094,2024-09-18,PROD-101,Stratos Enterprise Suite,Cloud Services,North,3,4500,12974.35,3600,9374.35,1696.88,CUST-315,Growth SMB,Low
TX-10095,2024-09-19,PROD-105,Strategic BI Advisory,Advisory,East,1,12000,12118.13,4500,7618.13,1380.62,CUST-893,Growth SMB,Low
TX-10096,2024-09-19,PROD-105,Strategic BI Advisory,Advisory,Central,1,12000,11672.82,4500,7172.82,1230.5,CUST-445,New Startup,Medium
TX-10097,2024-09-19,PROD-104,Smart Edge Gateway,Hardware,APAC,1,1800,1756.08,950,806.08,216.99,CUST-782,High-Value Enterprise,Medium
TX-10098,2024-09-19,PROD-104,Smart Edge Gateway,Hardware,APAC,1,1800,1827.25,950,877.25,230.74,CUST-898,At-Risk Midmarket,High
TX-10099,2024-09-19,PROD-102,AI Analytics Engine Pro,Enterprise AI,North,1,8200,8479.16,2100,6379.16,1141.64,CUST-868,High-Value Enterprise,Low
TX-10100,2024-09-19,PROD-105,Strategic BI Advisory,Advisory,North,1,12000,11773.73,4500,7273.73,1102.54,CUST-760,High-Value Enterprise,Low
TX-10101,2024-09-19,PROD-105,Strategic BI Advisory,Advisory,South,1,12000,11800.2,4500,7300.2,1225.92,CUST-636,At-Risk Midmarket,High
TX-10102,2024-09-20,PROD-103,Legacy Data Server V1,Hardware,APAC,1,3100,3229.72,2200,1029.72,372.14,CUST-975,Growth SMB,High
TX-10103,2024-09-20,PROD-106,Automated ETL Pipeline,Cloud Services,North,3,2900,8815.07,2100,6715.07,712.13,CUST-568,Growth SMB,Low
TX-10104,2024-09-20,PROD-101,Stratos Enterprise Suite,Cloud Services,EMEA,1,4500,4723.59,1200,3523.59,520.22,CUST-868,High-Value Enterprise,Low
TX-10105,2024-09-20,PROD-106,Automated ETL Pipeline,Cloud Services,West,2,2900,5531.2,1400,4131.2,599.16,CUST-523,High-Value Enterprise,Low
TX-10106,2024-09-21,PROD-106,Automated ETL Pipeline,Cloud Services,West,2,2900,5953.91,1400,4553.91,513.1,CUST-363,Growth SMB,Medium
TX-10107,2024-09-21,PROD-103,Legacy Data Server V1,Hardware,South,1,3100,2952.87,2200,752.87,263.9,CUST-277,Growth SMB,High
TX-10108,2024-09-21,PROD-101,Stratos Enterprise Suite,Cloud Services,West,1,4500,4502.48,1200,3302.48,520.95,CUST-860,Growth SMB,Medium
TX-10109,2024-09-22,PROD-103,Legacy Data Server V1,Hardware,West,1,3100,3020.38,2200,820.38,372.52,CUST-219,High-Value Enterprise,High
TX-10110,2024-09-22,PROD-104,Smart Edge Gateway,Hardware,EMEA,1,1800,1725.65,950,775.65,203.62,CUST-772,High-Value Enterprise,Low
TX-10111,2024-09-22,PROD-103,Legacy Data Server V1,Hardware,North,1,3100,3227.29,2200,1027.29,379.16,CUST-622,New Startup,Low
TX-10112,2024-09-22,PROD-104,Smart Edge Gateway,Hardware,Central,3,1800,5656.26,2850,2806.26,717.13,CUST-692,Growth SMB,Medium
TX-10113,2024-09-22,PROD-103,Legacy Data Server V1,Hardware,APAC,1,3100,2951.97,2200,751.97,283.75,CUST-651,At-Risk Midmarket,High
TX-10114,2024-09-23,PROD-105,Strategic BI Advisory,Advisory,East,1,12000,11906.04,4500,7406.04,1046.98,CUST-128,High-Value Enterprise,Low
